Year,Constituency Number,Constituency Name,District,Lok Sabha Segment,BJP/NDA Candidate Name,Party Label,Votes Received,Total Valid Votes,Vote Share %,Position,Winning Candidate,Winning Party,Winning Vote Count,Margin (Winner to Runner-up),BJP/NDA Gap to Winner,Swing from Previous Assembly
2011,32,Thiruvambady,Kozhikode,,,,,,,,nan,IUML,48.71,3833,,
2011,33,Kondotty,Malappuram,,,,,,,,nan,IUML,56.82,28149,,
2011,34,Eranad,Malappuram,,,,,,,,nan,IUML,51.29,11246,,
2011,35,Nilambur,Malappuram,,,,,,,,nan,INC,48.64,5598,,
2011,36,Wandoor (SC),Malappuram,,,,,,,,nan,INC,56.50,28919,,
2011,37,Manjeri,Malappuram,,,,,,,,nan,IUML,57.99,29079,,
2011,38,Perinthalmanna,Malappuram,,,,,,,,nan,IUML,52.97,9589,,
2011,39,Mankada,Malappuram,,,,,,,,nan,IUML,55.88,23593,,
2011,40,Malappuram,Malappuram,,,,,,,,nan,IUML,63.75,44508,,
2011,41,Vengara,Malappuram,,,,,,,,nan,IUML,63.44,38297,,
2011,42,Valikunnu,Malappuram,,,,,,,,nan,IUML,50.53,18122,,
2011,43,Tirurangadi,Malappuram,,,,,,,,nan,IUML,58.48,30208,,
2011,44,Tanur,Malappuram,,,,,,,,nan,IUML,49.52,9433,,
2011,45,Tirur,Malappuram,,,,,,,,nan,IUML,54.85,23566,,
2011,46,Kottakkal,Malappuram,,,,,,,,nan,IUML,58.91,35902,,
2011,47,Thavanur,Malappuram,,,,,,,,nan,IND,44.06,6347,,
2011,48,Ponnani,Malappuram,,,,,,,,nan,CPI(M),47.55,4101,,
2011,49,Thrithala,Palakkad,,,,,,,,nan,INC,47.37,3197,,
2011,50,Pattambi,Palakkad,,,,,,,,nan,INC,49.00,12475,,
2011,51,Shornur,Palakkad,,,,,,,,nan,CPI(M),49.57,13493,,
2011,52,Ottapalam,Palakkad,,,,,,,,nan,CPI(M),49.47,13200,,
2011,53,Kongad (SC),Palakkad,,,,,,,,nan,CPI(M),46.63,3565,,
2011,54,Mannarkkad,Palakkad,,,,,,,,nan,IUML,49.66,8270,,
2011,55,Malampuzha,Palakkad,,,,,,,,nan,CPI(M),57.04,23440,,
2011,56,Palakkad,Palakkad,,,,,,,,nan,INC,42.41,7393,,
2011,57,Tarur (SC),Palakkad,,,,,,,,nan,CPI(M),57.15,25756,,
2011,58,Chittur,Palakkad,,,,,,,,nan,INC,51.33,12330,,
2011,59,Nenmara,Palakkad,,,,,,,,nan,CPI(M),47.86,8694,,
2011,60,Alathur,Palakkad,,,,,,,,nan,CPI(M),57.72,24741,,
2011,61,Chelakkara (SC),Thrissur,,,,,,,,nan,CPI(M),55.42,24676,,
2011,62,Kunnamkulam,Thrissur,,,,,,,,nan,CPI(M),44.34,481,,
2011,63,Guruvayur,Thrissur,,,,,,,,nan,CPI(M),48.53,9968,,
2011,64,Manalur,Thrissur,,,,,,,,nan,INC,45.22,481,,
2011,65,Wadakkanchery,Thrissur,,,,,,,,nan,INC,48.79,6685,,
2011,66,Ollur,Thrissur,,,,,,,,nan,INC,49.21,6247,,
2011,67,Thrissur,Thrissur,,,,,,,,nan,INC,53.19,16169,,
2011,68,Nattika (SC),Thrissur,,,,,,,,nan,CPI,50.21,16054,,
2011,69,Kaipamangalam,Thrissur,,,,,,,,nan,CPI,50.20,13570,,
2011,70,Irinjalakuda,Thrissur,,,,,,,,nan,KC(M),51.70,12396,,
2011,71,Puthukkad,Thrissur,,,,,,,,nan,CPI(M),52.84,26482,,
2011,72,Chalakudy,Thrissur,,,,,,,,nan,CPI(M),48.18,2549,,
2011,73,Kodungallur,Thrissur,,,,,,,,nan,INC,50.11,9432,,
2011,74,Perumbavoor,Ernakulam,,,,,,,,nan,CPI(M),47.42,3382,,
2011,75,Angamaly,Ernakulam,,,,,,,,nan,JD(S),47.42,7170,,
2011,76,Aluva,Ernakulam,,,,,,,,nan,INC,50.24,13214,,
2011,77,Kalamassery,Ernakulam,,,,,,,,nan,IUML,47.73,7792,,
2011,78,Paravur,Ernakulam,,,,,,,,nan,INC,51.78,11349,,
2011,79,Vypen,Ernakulam,,,,,,,,nan,CPI(M),50.37,5242,,
2011,80,Kochi,Ernakulam,,,,,,,,nan,INC,53.37,16503,,
2011,81,Thrippunithura,Ernakulam,,,,,,,,nan,INC,53.37,15778,,
2011,82,Ernakulam,Ernakulam,,,,,,,,nan,INC,61.58,32487,,
2011,83,Thrikkakara,Ernakulam,,,,,,,,nan,INC,55.88,22406,,
2011,84,Kunnathunad (SC),Ernakulam,,,,,,,,nan,INC,49.72,8732,,
2011,85,Piravom,Ernakulam,,,,,,,,nan,KC(J),47.53,157,,
2011,86,Muvattupuzha,Ernakulam,,,,,,,,nan,INC,49.90,5163,,
2011,87,Kothamangalam,Ernakulam,,,,,,,,nan,KC(M),49.26,12222,,
2011,88,Devikulam (SC),Idukki,,,,,,,,nan,CPI(M),48.43,4078,,
2011,89,Udumbanchola,Idukki,,,,,,,,nan,CPI(M),51.48,9833,,
2011,90,Thodupuzha,Idukki,,,,,,,,nan,KC(M),51.92,22867,,
2011,91,Idukki,Idukki,,,,,,,,nan,KC(M),54.88,15806,,
2011,92,Peerumade,Idukki,,,,,,,,nan,CPI,49.26,4777,,
2011,93,Pala,Kottayam,,,,,,,,nan,KC(M),49.14,5259,,
2011,94,Kaduthurthy,Kottayam,,,,,,,,nan,KC(M),56.37,23057,,
2011,95,Vaikom (SC),Kottayam,,,,,,,,nan,CPI,51.62,10568,,
2011,96,Ettumanoor,Kottayam,,,,,,,,nan,CPI(M),48.52,1801,,
2011,97,Kottayam,Kottayam,,,,,,,,nan,INC,46.84,711,,
2011,98,Puthuppally,Kottayam,,,,,,,,nan,INC,59.74,33255,,
2011,99,Changanassery,Kottayam,,,,,,,,nan,KC(M),47.13,2554,,
2011,100,Kanjirappally,Kottayam,,,,,,,,nan,KC(M),50.40,12206,,
2011,101,Poonjar,Kottayam,,,,,,,,nan,KC(M),50.77,15704,,
2011,102,Aroor,Alappuzha,,,,,,,,nan,CPI(M),52.28,16852,,
2011,103,Cherthala,Alappuzha,,,,,,,,nan,CPI,53.11,18315,,
2011,104,Alappuzha,Alappuzha,,,,,,,,nan,CPI(M),53.71,16342,,
2011,105,Ambalappuzha,Alappuzha,,,,,,,,nan,CPI(M),54.48,16580,,
2011,106,Kuttanad,Alappuzha,,,,,,,,nan,NCP,50.81,7971,,
2011,107,Haripad,Alappuzha,,,,,,,,nan,INC,50.03,5520,,
2011,108,Kayamkulam,Alappuzha,,,,,,,,nan,CPI(M),48.28,1315,,
2011,109,Mavelikara (SC),Alappuzha,,,,,,,,nan,CPI(M),49.30,5149,,
2011,110,Chengannur,Alappuzha,,,,,,,,nan,INC,51.98,12500,,
2011,111,Thiruvalla,Pathanamthitta,,,,,,,,nan,JD(S),49.97,10767,,
2011,112,Ranni,Pathanamthitta,,,,,,,,nan,CPI(M),48.51,6614,,
2011,113,Aranmula,Pathanamthitta,,,,,,,,nan,INC,47.69,6511,,
2011,114,Konni,Pathanamthitta,,,,,,,,nan,INC,47.69,7774,,
2011,115,Adoor (SC),Pathanamthitta,,,,,,,,nan,CPI,48.51,607,,
2011,116,Karunagappally,Kollam,,,,,,,,nan,CPI,50.13,14521,,
2011,117,Chavara,Kollam,,,,,,,,nan,KRSP,51.16,6061,,
2011,118,Kunnathur (SC),Kollam,,,,,,,,nan,RSP,50.13,12088,,
2011,119,Kottarakkara,Kollam,,,,,,,,nan,CPI(M),53.89,20592,,
2011,120,Pathanapuram,Kollam,,,,,,,,nan,KC(B),55.64,20402,,
2011,121,Punalur,Kollam,,,,,,,,nan,CPI,54.62,18005,,
2011,122,Chadayamangalam,Kollam,,,,,,,,nan,CPI,55.90,23624,,
2011,123,Kundara,Kollam,,,,,,,,nan,CPI(M),52.48,14793,,
2011,124,Kollam,Kollam,,,,,,,,nan,CPI(M),50.86,8540,,
2011,125,Eravipuram,Kollam,,,,,,,,nan,RSP,49.00,8012,,
2011,126,Chathanoor,Kollam,,,,,,,,nan,CPI,52.66,12589,,
2011,127,Varkala,Thiruvananthapuram,,,,,,,,nan,INC,51.98,10710,,
2011,128,Attingal (SC),Thiruvananthapuram,,,,,,,,nan,CPI,55.44,30065,,
2011,129,Chirayinkeezhu (SC),Thiruvananthapuram,,,,,,,,nan,CPI,52.93,12225,,
2011,130,Nedumangad,Thiruvananthapuram,,,,,,,,nan,INC,47.87,5030,,
2011,131,Vamanapuram,Thiruvananthapuram,,,,,,,,nan,CPI(M),46.51,2236,,
2011,132,Kazhakootam,Thiruvananthapuram,,,,,,,,nan,INC,46.38,2196,,
2011,133,Vattiyoorkavu,Thiruvananthapuram,,,,,,,,nan,INC,50.19,16167,,
2011,134,Thiruvananthapuram,Thiruvananthapuram,,,,,,,,nan,INC,45.87,5352,,
2011,135,Nemom,Thiruvananthapuram,,nan,nan,37.49,,,2,nan,CPI(M),42.99,6215,6215,
2011,136,Aruvikkara,Thiruvananthapuram,,,,,,,,nan,INC,48.79,10674,,
2011,137,Parassala,Thiruvananthapuram,,,,,,,,nan,INC,44.80,505,,
2011,138,Kattakada,Thiruvananthapuram,,,,,,,,nan,INC,44.63,12916,,
2011,139,Kovalam,Thiruvananthapuram,,,,,,,,nan,JD(S),47.60,7305,,
2011,140,Neyyatinkara,Thiruvananthapuram,,,,,,,,nan,CPI(M),48.98,6702,,
