Year,District,Block_Panchayat,Ward_No,Ward_Name,Winning_Candidate,Party,Category,Reservation_Status,Source
2015,Thiruvananthapuram,Varkala,1,KAPPIL,A.BALIQU,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Varkala,2,ELAKAMON,V.S.VANITHA,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Varkala,3,PALAYAMKUNNU,BENNY.K.G,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Varkala,4,CHEMMARUTHY,MINIKUMARI. S,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Varkala,5,MUTTAPPALAM,SASEENDRA,INC,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Varkala,6,VADASSERIKKONAM,ADV.C.S.RAJEEV,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Varkala,7,OTTOOR,ADV. SMITHA SUNDARESAN,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Varkala,8,MANAMBOOR,P.J.NAHAS,INC,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Varkala,9,KAVALAYOOR,M.S.SUSHAMMA,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Varkala,10,CHERUNNIYOOR,SALIM ISMAIL,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Varkala,11,VENNICODE,SABEENA SASANKAN,CPI,SC Woman,SC Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Varkala,12,VETTOOR,M.K.YOOSAF,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Varkala,13,EDAVA,MERLY.G.S,CPI,SC,SC,OpenDataKerala GitHub
2015,Thiruvananthapuram,Kilimanoor,1,PALLICKAL,BABY SUDHA,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Kilimanoor,2,MADAVOOR,SURAJA,CPI,SC,SC,OpenDataKerala GitHub
2015,Thiruvananthapuram,Kilimanoor,3,THUMBODE,SREEJA SHAIJUDEV,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Kilimanoor,4,PONGANADU,MALATHY AMMA. J,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Kilimanoor,5,KILIMANOOR,SANU S,CPI,SC,SC,OpenDataKerala GitHub
2015,Thiruvananthapuram,Kilimanoor,6,PAZHAYAKUNNUMMEL,G BABUKUTTAN,CPI,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Kilimanoor,7,MANJAPPARA,YAHIYA S,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Kilimanoor,8,PULIMATH,K VALSALA KUMAR,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Kilimanoor,9,KODUVAZHANOOR,G HARIKRISHNAN,INC,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Kilimanoor,10,NAGAROOR,SALINI L,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Kilimanoor,11,VELLALLOR,RAJENDRAN N,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Kilimanoor,12,VANCHIYOOR,K SUBHASH,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Kilimanoor,13,KARAVARAM,ADV. P R RAJEEV,CPI,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Kilimanoor,14,NAVAIKULAM,K SANTHAMMA,INC,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Kilimanoor,15,THRIKKOVILVATTAM,NISSA A,INC,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Chirayinkeezhu,1,KAYIKKARA,SANDHYA D,INC,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Chirayinkeezhu,2,VAKKOM,GEETHA SURESH,CPI(M),SC Woman,SC Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Chirayinkeezhu,3,NILAKKAMUKKU,ADV. S. FIROZ LAL,JD(S),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Chirayinkeezhu,4,KEEZHATTINGAL,DEVE N,CPI(M),SC,SC,OpenDataKerala GitHub
2015,Thiruvananthapuram,Chirayinkeezhu,5,MUDAKKAL,SINDHUKUMARY M,INC,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Chirayinkeezhu,6,VALAKKAD,ELAMPA UNNIKRISHNAN,INC,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Chirayinkeezhu,7,EDACKODE,B RAMABAI AMMA,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Chirayinkeezhu,8,PURAVOOR,MANJU PRADEEP,INC,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Chirayinkeezhu,9,KIZHUVILAM,CHANDRAN S,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Chirayinkeezhu,10,CHIRAYINKEEZHU,SINDHU S,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Chirayinkeezhu,11,SARKARA,SULEKHA C P,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Chirayinkeezhu,12,KADAKKAVOOR,R SUBHASH,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Chirayinkeezhu,13,ANCHUTHENGU,ANCHUTHENGU SURENDRAN,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Vamanapuram,1,KALAMACHAL,B SANDHYA,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Vamanapuram,2,KALLARA,GIRIJAVIJAYAN,INC,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Vamanapuram,3,MITHURMMALA,SURESHBABU S,INC,ST,ST,OpenDataKerala GitHub
2015,Thiruvananthapuram,Vamanapuram,4,PANGODU,M M SHAFI,INC,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Vamanapuram,5,BHARATHANNOOR,K ANILKUMAR,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Vamanapuram,6,ILAVUPALAM,SHEEBA GIREESH,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Vamanapuram,7,PERINGAMMALA,SUBHASH G,INC,SC,SC,OpenDataKerala GitHub
2015,Thiruvananthapuram,Vamanapuram,8,PALODE,T K VENUGOPAL,INC,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Vamanapuram,9,NANNIYODU,K P CHANDRAN,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Vamanapuram,10,PULLAMPARA,RADHAVIJAYAN,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Vamanapuram,11,THALAYAL,JALAJA,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Vamanapuram,12,PIRAPPANCODU,N CHANDRIKA,CPI(M),SC Woman,SC Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Vamanapuram,13,KOLIYAKODU,G KALAKUMARI,INC,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Vamanapuram,14,NELLANAD,K SHEELAKUMARI,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Vamanapuram,15,MANIKKAMANGALAM,M S SHAJI,INC,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Vellanad,1,VITHURA,VELAPPAN PILLAI.J,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Vellanad,2,ANAPPARA,VIPIN .L.V,INC,ST,ST,OpenDataKerala GitHub
2015,Thiruvananthapuram,Vellanad,3,PARANDOD,VIJAYAKUMARY.S,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Vellanad,4,ARYANADU,PRASANNAKUMARY.R,INC,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Vellanad,5,KUTTICHAL,MINI.A,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Vellanad,6,PEZHUMMOODU,NOORA VAHIDA NAZARUDHEEN.V.H,INC,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Vellanad,7,VEERANAKAVU,MARYKUNJU.K.A,INC,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Vellanad,8,AMACHAL,ANILKUMAR.K,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Vellanad,9,KATTAKKADA,STEEPHEN.G,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Vellanad,10,KILLI,BAIJU.M.R,INC,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Vellanad,11,POOVACHAL,AJITHAKUMARI.S.S,CPI,SC,SC,OpenDataKerala GitHub
2015,Thiruvananthapuram,Vellanad,12,URIYAKODE,REENA.L,INC,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Vellanad,13,VELLANAD,JYOTHISH KUMAR.C,INC,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Vellanad,14,KULAPPADA,SAJEENA KASIM,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Vellanad,15,CHAKARAPANIPURAM,SAMEEMA RANI.S,CPI,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Vellanad,16,THOLICODU,ANSAR.A,INC,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nedumangad,1,PANAVOOR,SHAJAHAN,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nedumangad,2,ATTUKAL,R J MANJU,INC,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nedumangad,3,CHULLIMANOOR,SUNITHAKUMARI M,INC,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nedumangad,4,ARUVIKKARA,PREETHA O S,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nedumangad,5,CHERIYAKONNI,SUVARNNA,CPI,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nedumangad,6,KACHANI,GEETHANJALI,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nedumangad,7,KARAKULAM,SURESHKUMAR,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nedumangad,8,MARUTHOOR,B BIJU,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nedumangad,9,VATTAPPARA,B PRABHAKUMARI,CPI,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nedumangad,10,NANNATTUKAVU,SAJUKUMAR S,CPI,SC,SC,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nedumangad,11,VETTINADU,RAJESH KANNAN,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nedumangad,12,VENKAVILA,IRIYANAD K R SREEJA,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nedumangad,13,THEKKADA,ANASUL REHMAN,INC,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nemom,1,PULIYARAKONAM,A.GEORGEKUTTY,INC,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nemom,2,VILAPPILSALA,B.RADHAKRISHNAN NAIR,CPI,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nemom,3,MALAYINKEEZHU,ANITHA.L.,INC,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nemom,4,MARANALLOOR,D.R.BIJUDAS,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nemom,5,OOROOTAMBALAM,PRIYADARSHINI.S.,INC,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nemom,6,VALIYARATHALA,SINDHUKUMARI ASOKAN,INC,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nemom,7,BALARAMAPURAM,ADV.D.SURESHKUMAR,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nemom,8,ATHIYANOOR,S.JAYACHANDRAN,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nemom,9,POONCODE,VEERENDRAKUMAR.S.,INC,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nemom,10,POONKULAM,GIRIJA.J.,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nemom,11,VELLAYANI,G.SATHEESAN,BJP,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nemom,12,PRAVACHAMBALAM,VINUKUMAR.M.,BJP,SC,SC,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nemom,13,PALLICHAL,V.IDA,INC,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nemom,14,MACHEL,KUMARI AMBIKA (MAYA RAJENDRAN),INC,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nemom,15,PERUKAVU,SAKUNTHALA KUMARI.L.,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nemom,16,PEYAD,REMA.T.,CPI(M),SC,SC,OpenDataKerala GitHub
2015,Thiruvananthapuram,Perumkadavila,1,KALLIKKADU,L K KUMARI,INC,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Perumkadavila,2,AMBOORI,SHAJAHAN S,INDEPENDENT,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Perumkadavila,3,VELLARADA,STANLY,INC,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Perumkadavila,4,KILIYOOR,P SUJATHAKUMARI,CPI,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Perumkadavila,5,PANACHAMOODU,S P SUDHA,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Perumkadavila,6,KUNNATHUKAL,K S SHEEBA RANI,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Perumkadavila,7,KOLLAYIL,SURAJA DEVI I,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Perumkadavila,8,MANCHAVILAKAM,C BABY,CPI(M),SC Woman,SC Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Perumkadavila,9,PERUMKADAVILA,G AJAYAKUMAR,INC,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Perumkadavila,10,PALIYODU,V SREEKANTAN NAIR,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Perumkadavila,11,ARYANCODE,K K SAJAYAKUMAR,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Perumkadavila,12,CHEMBOORU,ARUN C P,INC,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Perumkadavila,13,OTTASEKHARAMANGALAM,JOIS K,INC,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Perumkadavila,14,VAZHICHAL,SHIJU S,INC,SC,SC,OpenDataKerala GitHub
2015,Thiruvananthapuram,Athiyannoor,1,MUTTACAUD,LEELA BAI P S,INC,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Athiyannoor,2,PERINGAMMALA,N J PRABHULLACHANDRAN,INC,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Athiyannoor,3,PAYATTUVILA,VIJAYAKUMARI,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Athiyannoor,4,AVANAKUZHI,MARIAMMA KESARI,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Athiyannoor,5,KAMUKINCODE,K P REJITHA,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Athiyannoor,6,VENPAKAL,K PRABHAKARAN,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Athiyannoor,7,NELLIMOODU,JOHNY J,INC,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Athiyannoor,8,KANJIRAMKULAM,BINDHU S,INC,SC Woman,SC Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Athiyannoor,9,LOURDIPURAM,SYLAJA D,INC,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Athiyannoor,10,KARUMKULAM,FRANKLIN A,INC,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Athiyannoor,11,PULLUVILA,RAJI SILVAPICHA,INC,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Athiyannoor,12,KOTTUKAL,K S RAJAN,INC,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Athiyannoor,13,VENGANOOR,SHEELA BHADRAN,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Parassala,1,PUTHANKADA,RAJESH CHANDRADAS R S,INC,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Parassala,2,THIRUPURAM,MOHANDAS A,CPI,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Parassala,3,MARYAPURAM,SALOOJA V R,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Parassala,4,UDHAYANKULANGARA,NIRMALA KUMARI J,INC,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Parassala,5,NEDIYAMCODE,NIRMALA KUMARI K,INC,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Parassala,6,PARASUVAYKKAL,MANJU SMITHA L,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Parassala,7,PARASSALA TOWN,Y SATHEESH,CPI(M),SC,SC,OpenDataKerala GitHub
2015,Thiruvananthapuram,Parassala,8,CHENKAVILA,SHIJU P P,CPI,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Parassala,9,KARODE,GLADY GRACE,INC,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Parassala,10,KULATHOOR,SHEEJA S,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Parassala,11,POZHIYOOR,JOHN BOSKO A,INC,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Parassala,12,POOZHIKUNNU,SANTHOSH KUMAR K,INC,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Parassala,13,ARUMANOOR,BUELA ANGEL,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Parassala,14,POOVAR,ARYADEVAN S,INDEPENDENT,General,General,OpenDataKerala GitHub
2015,Kollam,Oachira,1,PRAYAR,A.MAJEED,CPI(M),General,General,OpenDataKerala GitHub
2015,Kollam,Oachira,2,CLAPPANA,R.SREEDEVI MOHANAN,CPI,Woman,Woman,OpenDataKerala GitHub
2015,Kollam,Oachira,3,OACHIRA,ANSAR . A,INC,General,General,OpenDataKerala GitHub
2015,Kollam,Oachira,4,CHANGANKULANGARA,N . KRISHNAKUMAR,INC,General,General,OpenDataKerala GitHub
2015,Kollam,Oachira,5,THAZHAVA,BIJU PANCHAJANYAM,INC,General,General,OpenDataKerala GitHub
2015,Kollam,Oachira,6,PAVUMBA,P.JAYASREE,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Kollam,Oachira,7,THODIYOOR,BANCY RAGHUNATH,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Kollam,Oachira,8,KALLELIBHAGAM,RICHU RAGHAVAN,CPI(M),SC,SC,OpenDataKerala GitHub
2015,Kollam,Oachira,9,EDAKKULANGARA,SEENA NAVAS,CPI,Woman,Woman,OpenDataKerala GitHub
2015,Kollam,Oachira,10,PUTHANTHERUVU,T K SREEDEVI,INC,Woman,Woman,OpenDataKerala GitHub
2015,Kollam,Oachira,11,ADINADU,R.K.DEEPA,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Kollam,Oachira,12,SAKTHIKULANGARA,B.SUDHARMA,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Kollam,Oachira,13,ALAPPADU,SHERLY SREEKUMAR,CPI,General,General,OpenDataKerala GitHub
2015,Kollam,Oachira,14,AZHEEKKAL,V.SAGAR,INC,General,General,OpenDataKerala GitHub
2015,Kollam,Sasthamcotta,1,ANAYADY,SUMA A,CPI,Woman,Woman,OpenDataKerala GitHub
2015,Kollam,Sasthamcotta,2,MALANADA,S SIVANPILLAI,CPI(M),General,General,OpenDataKerala GitHub
2015,Kollam,Sasthamcotta,3,PORUVAZHY,AKKARAYIL HUSSAIN,CPI(M),General,General,OpenDataKerala GitHub
2015,Kollam,Sasthamcotta,4,IVERKALA,B ARUNAMONY,CPI(M),General,General,OpenDataKerala GitHub
2015,Kollam,Sasthamcotta,5,KUNNATHOOR,KARAKKATTU ANIL,INC,General,General,OpenDataKerala GitHub
2015,Kollam,Sasthamcotta,6,BHARANICAVU,M V THARA BAI,INC,Woman,Woman,OpenDataKerala GitHub
2015,Kollam,Sasthamcotta,7,SASTHAMCOTTA,ANILA T,INC,SC Woman,SC Woman,OpenDataKerala GitHub
2015,Kollam,Sasthamcotta,8,KADAPUZHA,KALADEVI.K,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Kollam,Sasthamcotta,9,VENGA,KRISHNAKUMARY,CPI,Woman,Woman,OpenDataKerala GitHub
2015,Kollam,Sasthamcotta,10,KADAPPA,ADV.THOMAS VAIDYAN,INC,General,General,OpenDataKerala GitHub
2015,Kollam,Sasthamcotta,11,MYNAGAPPALLY,MUBEENA TEACHER,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Kollam,Sasthamcotta,12,PATHARAM,R.RAJEEV,RSP,SC,SC,OpenDataKerala GitHub
2015,Kollam,Sasthamcotta,13,SOORANADU SOUTH,M ABDUL LATHEEF,CPI(M),General,General,OpenDataKerala GitHub
2015,Kollam,Sasthamcotta,14,SOORANADU NORTH,AMBIKA DEVIPILLAI,INC,Woman,Woman,OpenDataKerala GitHub
2015,Kollam,Vettikavala,1,PUTHOOR,ANILKUMAR C,CPI(M),General,General,OpenDataKerala GitHub
2015,Kollam,Vettikavala,2,VENDAR,VASANTHAKUMARI K,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Kollam,Vettikavala,3,KULAKKADA,DEEPA R,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Kollam,Vettikavala,4,KALAYAPURAM,CHANDRAKUMARY,CPI,Woman,Woman,OpenDataKerala GitHub
2015,Kollam,Vettikavala,5,KOTTATHALA,AJAYAKUMAR G,CPI,General,General,OpenDataKerala GitHub
2015,Kollam,Vettikavala,6,MYLOM,ADV.MYLOM GANESH,INC,General,General,OpenDataKerala GitHub
2015,Kollam,Vettikavala,7,KIZHAKKETHERUVU,SUSAN THANKACHAN,INC,Woman,Woman,OpenDataKerala GitHub
2015,Kollam,Vettikavala,8,MELILA,RENUKA R,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Kollam,Vettikavala,9,CHAKKUVARACKAL,ADV.SHINE PRABHA,CPI(M),General,General,OpenDataKerala GitHub
2015,Kollam,Vettikavala,10,CHIRATTAKONAM,SALIKUTTY,INC,Woman,Woman,OpenDataKerala GitHub
2015,Kollam,Vettikavala,11,VETTIKAVALA,RETNAMANY S,CPI(M),SC Woman,SC Woman,OpenDataKerala GitHub
2015,Kollam,Vettikavala,12,VALAKAM,P.K JHONSON,CPI(M),General,General,OpenDataKerala GitHub
2015,Kollam,Vettikavala,13,UMMANNOOR,SUNIL.T.DANIEL,CPI,General,General,OpenDataKerala GitHub
2015,Kollam,Vettikavala,14,PAVITHRESWARAM,ASOKAN N,CPI,SC,SC,OpenDataKerala GitHub
2015,Kollam,Pathanapuram,1,PATTAZHY VADAKKEKARA,K.B.SAJEEV,CPI(M),General,General,OpenDataKerala GitHub
2015,Kollam,Pathanapuram,2,KUNDAYAM,MINI SHAJAHAN,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Kollam,Pathanapuram,3,PATHANAPURAM,H.RIYAZ MUHAMMED,KC(B),General,General,OpenDataKerala GitHub
2015,Kollam,Pathanapuram,4,MANCODE,A.B.ANZAR,CPI(M),General,General,OpenDataKerala GitHub
2015,Kollam,Pathanapuram,5,PUNNALA,S SAJEESH,CPI(M),General,General,OpenDataKerala GitHub
2015,Kollam,Pathanapuram,6,PIRAVANTHOOR,AJITHA.A,KC(M),SC Woman,SC Woman,OpenDataKerala GitHub
2015,Kollam,Pathanapuram,7,KAMUKUMCHERI,SUNITHA RAJESH,CPI,Woman,Woman,OpenDataKerala GitHub
2015,Kollam,Pathanapuram,8,ELAMPAL,VALSALAKUMARI.S,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Kollam,Pathanapuram,9,KUNNICODE,M S SUDHA,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Kollam,Pathanapuram,10,THALAVOOR,LENI BABU,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Kollam,Pathanapuram,11,NADUTHERI,N.BALAKRISHNAN,INC,SC,SC,OpenDataKerala GitHub
2015,Kollam,Pathanapuram,12,PIDAVOOR,SASIKALA MOHANAN,INC,Woman,Woman,OpenDataKerala GitHub
2015,Kollam,Pathanapuram,13,PATTAZHY,RENJITH BABU,CPI,General,General,OpenDataKerala GitHub
2015,Kollam,Anchal,1,EDAMON,THAHIRA SHEREEF,CPI,Woman,Woman,OpenDataKerala GitHub
2015,Kollam,Anchal,2,ARYANKAVU,SUNITHA,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Kollam,Anchal,3,THENMALA,DHANYA RAJU,CPI(M),SC Woman,SC Woman,OpenDataKerala GitHub
2015,Kollam,Anchal,4,KULATHUPUZHA,RAVEENDRAN PILLAI. G,CPI(M),General,General,OpenDataKerala GitHub
2015,Kollam,Anchal,5,THINKALKARIKKOM,MINI ROY,INC,Woman,Woman,OpenDataKerala GitHub
2015,Kollam,Anchal,6,ALAYAMON,SAJEENA SHIBU,INC,Woman,Woman,OpenDataKerala GitHub
2015,Kollam,Anchal,7,ANCHAL,GIRIJA MURALI,CPI,Woman,Woman,OpenDataKerala GitHub
2015,Kollam,Anchal,8,EDAMULACKAL,G.S.AJAYA KUMAR,CPI,General,General,OpenDataKerala GitHub
2015,Kollam,Anchal,9,ARACKAL,SHIBU.K,CPI(M),General,General,OpenDataKerala GitHub
2015,Kollam,Anchal,10,KURUVIKKONAM,P.V.PRASANTH,CPI(M),General,General,OpenDataKerala GitHub
2015,Kollam,Anchal,11,MATHRA,SREELEKSHMI.C,CPI,Woman,Woman,OpenDataKerala GitHub
2015,Kollam,Anchal,12,VENCHEMBU,R. SHYLAJA,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Kollam,Anchal,13,KARAVALOOR,RENJU SURESH,CPI(M),SC,SC,OpenDataKerala GitHub
2015,Kollam,Anchal,14,YEROOR,G. SREEDHARAN PILLAI,CPI(M),General,General,OpenDataKerala GitHub
2015,Kollam,Anchal,15,AYIRANALLOOR,BALACHANDRAN.P.R.,CPI,General,General,OpenDataKerala GitHub
2015,Kollam,Kottarakara,1,THEVALAPPURAM,S.SASIKUMAR,CPI(M),General,General,OpenDataKerala GitHub
2015,Kollam,Kottarakara,2,NEDUVATHUR,SHEEBA SURESH,CPI,Woman,Woman,OpenDataKerala GitHub
