Year,Corporation,Ward_No,Ward_Name,Winning_Candidate,Party,Category,Reservation_Status,Source
2020,Thiruvananthapuram,34,KACHANI,P REMA,CPI(M),Woman,Woman,OpenDataKerala GitHub
2020,Thiruvananthapuram,35,VAZHOTTUKONAM,RANI VIKRAMAN (HELEN.G),CPI(M),Woman,Woman,OpenDataKerala GitHub
2020,Thiruvananthapuram,36,VATTIYOORKAVU,PARVATHY I M,CPI(M),Woman,Woman,OpenDataKerala GitHub
2020,Thiruvananthapuram,37,KODUGANOOR,PADMA S (SARITHA.S),BJP,Woman,Woman,OpenDataKerala GitHub
2020,Thiruvananthapuram,38,PTP NAGAR,ADV. V.G.GIRIKUMAR,BJP,General,General,OpenDataKerala GitHub
2020,Thiruvananthapuram,39,PANGODE,PADMALEKHA O,BJP,Woman,Woman,OpenDataKerala GitHub
2020,Thiruvananthapuram,40,THIRUMALA,K ANIL KUMAR,BJP,General,General,OpenDataKerala GitHub
2020,Thiruvananthapuram,41,VALIYAVILA,DEVIMA P S,BJP,Woman,Woman,OpenDataKerala GitHub
2020,Thiruvananthapuram,42,POOJAPPURA,V V RAJESH,BJP,General,General,OpenDataKerala GitHub
2020,Thiruvananthapuram,43,VALIYASALA,S KRISHNAKUMAR (SUNIL),CPI(M),General,General,OpenDataKerala GitHub
2020,Thiruvananthapuram,44,JAGATHY,SHEEJA MADHU,BJP,Woman,Woman,OpenDataKerala GitHub
2020,Thiruvananthapuram,45,KARAMANA,MANJU G S,BJP,Woman,Woman,OpenDataKerala GitHub
2020,Thiruvananthapuram,46,ARANOOR,BINDHU MENON L R,CPI(M),Woman,Woman,OpenDataKerala GitHub
2020,Thiruvananthapuram,47,MUDAVANMUGHAL,ARYA RAJENDRAN S,CPI(M),Woman,Woman,OpenDataKerala GitHub
2020,Thiruvananthapuram,48,THRIKANNAPURAM,JAYALEKSHMI P S,BJP,Woman,Woman,OpenDataKerala GitHub
2020,Thiruvananthapuram,49,NEMOM,DEEPIKA U,BJP,SC Woman,SC Woman,OpenDataKerala GitHub
2020,Thiruvananthapuram,50,PONNUMANGALAM,M R GOPAN,BJP,General,General,OpenDataKerala GitHub
2020,Thiruvananthapuram,51,PUNNAKKAMUGHAL,MANJU P V,BJP,Woman,Woman,OpenDataKerala GitHub
2020,Thiruvananthapuram,52,PAPPANAMCODE,ASHA NATH G S,BJP,Woman,Woman,OpenDataKerala GitHub
2020,Thiruvananthapuram,53,ESTATE,SOUMYA L,BJP,SC Woman,SC Woman,OpenDataKerala GitHub
2020,Thiruvananthapuram,54,NEDUMCAUD,KARAMANA AJITH,BJP,General,General,OpenDataKerala GitHub
2020,Thiruvananthapuram,55,KALADY,V SIVAKUMAR,BJP,General,General,OpenDataKerala GitHub
2020,Thiruvananthapuram,56,MELAMCODE,SREEDEVI S K,BJP,Woman,Woman,OpenDataKerala GitHub
2020,Thiruvananthapuram,57,PUNCHAKARI,D SIVANKUTTY,CPI(M),General,General,OpenDataKerala GitHub
2020,Thiruvananthapuram,58,POONKULAM,V PRAMEELA,CPI(M),Woman,Woman,OpenDataKerala GitHub
2020,Thiruvananthapuram,59,VENGANOOR,SINDHU VIJAYAN,JD(S),Woman,Woman,OpenDataKerala GitHub
2020,Thiruvananthapuram,60,MULLOOR,C OMANA,INC,Woman,Woman,OpenDataKerala GitHub
2020,Thiruvananthapuram,61,KOTTAPPURAM,PANIADIMA J,INDEPENDENT,General,General,OpenDataKerala GitHub
2020,Thiruvananthapuram,62,VIZHINJAM,SAMEERA S MIKHDAD,CPI(M),Woman,Woman,OpenDataKerala GitHub
2020,Thiruvananthapuram,63,HARBAR,NISSAMUDEEN M,INDEPENDENT,General,General,OpenDataKerala GitHub
2020,Thiruvananthapuram,64,VELLAR,NEDUMOM V MOHANAN,BJP,General,General,OpenDataKerala GitHub
2020,Thiruvananthapuram,65,THIRUVALLAM,SATHYAVATHI V,BJP,Woman,Woman,OpenDataKerala GitHub
2020,Thiruvananthapuram,66,POONTHURA,MARY JIPSY,INDEPENDENT,Woman,Woman,OpenDataKerala GitHub
2020,Thiruvananthapuram,67,AMBALATHARA,V S SULOCHANAN,CPI,General,General,OpenDataKerala GitHub
2020,Thiruvananthapuram,68,KAMALESWARAM,VIJAYAKUMARI V,CPI(M),Woman,Woman,OpenDataKerala GitHub
2020,Thiruvananthapuram,69,KALIPPANKULAM,D SAJULAL,CPI(M),General,General,OpenDataKerala GitHub
2020,Thiruvananthapuram,70,ATTUKAL,R UNNIKRISHNAN,CPI(M),General,General,OpenDataKerala GitHub
2020,Thiruvananthapuram,71,CHALA,SIMI JEOTHISH,BJP,Woman,Woman,OpenDataKerala GitHub
2020,Thiruvananthapuram,72,MANACAUD,K K SURESH,BJP,SC,SC,OpenDataKerala GitHub
2020,Thiruvananthapuram,73,KURIYATHY,B MOHNAN NAIR,BJP,General,General,OpenDataKerala GitHub
2020,Thiruvananthapuram,74,PUTHENPALLY,S SALIM,CPI(M),General,General,OpenDataKerala GitHub
2020,Thiruvananthapuram,75,MANIKAVILAKAM,S M BASHEER,INL,General,General,OpenDataKerala GitHub
2020,Thiruvananthapuram,76,BEEMAPALLY EAST,SUDHEER J,CPI(M),General,General,OpenDataKerala GitHub
2020,Thiruvananthapuram,77,BEEMAPALLY,MILANI PEREIRA,IUML,Woman,Woman,OpenDataKerala GitHub
2020,Thiruvananthapuram,78,MUTTATHARA,B. RAJENDRAN,CPI(M),General,General,OpenDataKerala GitHub
2020,Thiruvananthapuram,79,SREEVARAHAM,S. VIJAYAKUMAR,CPI,General,General,OpenDataKerala GitHub
2020,Thiruvananthapuram,80,FORT,JANAKI AMMAL. S,BJP,Woman,Woman,OpenDataKerala GitHub
2020,Thiruvananthapuram,81,THAMPANOOR,HARIKUMAR. C,CPI,SC,SC,OpenDataKerala GitHub
2020,Thiruvananthapuram,82,VANCHIYOOR,GAYATHRI BABU,CPI(M),Woman,Woman,OpenDataKerala GitHub
2020,Thiruvananthapuram,83,SREEKANTESWARAM,P. RAJENDRAN NAIR,BJP,General,General,OpenDataKerala GitHub
2020,Thiruvananthapuram,84,PERUNTHANNI,P. PADMAKUMAR,INC,General,General,OpenDataKerala GitHub
2020,Thiruvananthapuram,85,PALKULANGARA,P. ASOK KUMAR,BJP,General,General,OpenDataKerala GitHub
2020,Thiruvananthapuram,86,CHAKKAI,ADV. M. SANTHA,CPI(M),SC Woman,SC Woman,OpenDataKerala GitHub
2020,Thiruvananthapuram,87,VALIYATHURA,IRENE TR.,CPI,General,General,OpenDataKerala GitHub
2020,Thiruvananthapuram,88,VALLAKKADAVU,SHAJITHA NAZAR,CPI(M),General,General,OpenDataKerala GitHub
2020,Thiruvananthapuram,89,SANGHUMUGHAM,SERAPHINE FREDY,INC,Woman,Woman,OpenDataKerala GitHub
2020,Thiruvananthapuram,90,VETTUCAUD,CLINUSROZARIO L,CPI(M),General,General,OpenDataKerala GitHub
2020,Thiruvananthapuram,91,KARIKKAKAM,D.G. KUMARAN,BJP,General,General,OpenDataKerala GitHub
2020,Thiruvananthapuram,92,KADAKAMPALLY,GOPAKUMAR P. K,CPI(M),General,General,OpenDataKerala GitHub
2020,Thiruvananthapuram,93,PETTAH,C. S.SUJA DEVI,CPI(M),Woman,Woman,OpenDataKerala GitHub
2020,Thiruvananthapuram,94,KANNANMOOLA,SARANYA S.S,CPI(M),Woman,Woman,OpenDataKerala GitHub
2020,Thiruvananthapuram,95,ANAMUGHAM,AJITH KUMAR N,CPI,General,General,OpenDataKerala GitHub
2020,Thiruvananthapuram,96,AKKULAM,SURESH KUMAR. S,INC,General,General,OpenDataKerala GitHub
2020,Thiruvananthapuram,97,KULATHOOR,NAJA B,CPI(M),Woman,Woman,OpenDataKerala GitHub
2020,Thiruvananthapuram,98,ATTIPRA,SREEDEVI A,CPI(M),Woman,Woman,OpenDataKerala GitHub
2020,Thiruvananthapuram,99,POWNDUKADAVU,JISHA JOHN,CPI(M),Woman,Woman,OpenDataKerala GitHub
2020,Thiruvananthapuram,100,PALLITHURA,MEDAYIL VIKRAMAN,CPI(M),General,General,OpenDataKerala GitHub
2020,Kollam,1,MARUTHADI,SUMI M,INC,Woman,Woman,OpenDataKerala GitHub
2020,Kollam,2,SAKTHIKULANGARA,M PUSHPANGADAN,RSP,General,General,OpenDataKerala GitHub
2020,Kollam,3,MEENATHUCHERY,DEEPU GANGADHARAN B,RSP,SC,SC,OpenDataKerala GitHub
2020,Kollam,4,KAVANAD,KOLLAM MADHU,CPI,General,General,OpenDataKerala GitHub
2020,Kollam,5,VALLIKEEZHU,S JAYAN,CPI(M),General,General,OpenDataKerala GitHub
2020,Kollam,6,KUREEPUZHA WEST,SREELATHA S,CPI(M),Woman,Woman,OpenDataKerala GitHub
2020,Kollam,7,KUREEPUZHA,GIRIJA THULASI,CPI(M),Woman,Woman,OpenDataKerala GitHub
2020,Kollam,8,NEERAVIL,SINDHURANI L,CPI(M),Woman,Woman,OpenDataKerala GitHub
2020,Kollam,9,ANCHALUMMOODU,SWARNAMMA S,RSP,Woman,Woman,OpenDataKerala GitHub
2020,Kollam,10,KADAVOOR,GIRIJA SANTHOSH,CPI,Woman,Woman,OpenDataKerala GitHub
2020,Kollam,11,MATHILIL,TELSA THOMAS,RSP,Woman,Woman,OpenDataKerala GitHub
2020,Kollam,12,THEVALLY,SHYLAJA B,BJP,General,General,OpenDataKerala GitHub
2020,Kollam,13,VADAKKUMBHAGAM,HONEY,CPI,Woman,Woman,OpenDataKerala GitHub
2020,Kollam,14,ASRAMAM,S SAJITHANAND,BJP,Woman,Woman,OpenDataKerala GitHub
2020,Kollam,15,ULIYAKOVIL,ABHILASH T R,BJP,General,General,OpenDataKerala GitHub
2020,Kollam,16,ULIYAKOVIL EAST,AMBILY,CPI(M),Woman,Woman,OpenDataKerala GitHub
2020,Kollam,17,KADAPPAKADA,KRIPA VINOD,BJP,Woman,Woman,OpenDataKerala GitHub
2020,Kollam,18,KOIKAL,SANTHOSH V,CPI(M),General,General,OpenDataKerala GitHub
2020,Kollam,19,KALLUMTHAZHAM,SABU B,CPI,General,General,OpenDataKerala GitHub
2020,Kollam,20,MANGADU,T G GIREESH,BJP,General,General,OpenDataKerala GitHub
2020,Kollam,21,ARUNOOTTIMANGALAM,ASHA BIJU,CPI(M),Woman,Woman,OpenDataKerala GitHub
2020,Kollam,22,CHATHINAKULAM,KRISHNENDU,SDPI,SC Woman,SC Woman,OpenDataKerala GitHub
2020,Kollam,23,KARIKODU,SUJA KRISHNAN,CPI(M),Woman,Woman,OpenDataKerala GitHub
2020,Kollam,24,COLLEGE DIVISION,S.GEETHAKUMARI,CPI(M),Woman,Woman,OpenDataKerala GitHub
2020,Kollam,25,PALKULANGARA,ARATHY S,CPI(M),Woman,Woman,OpenDataKerala GitHub
2020,Kollam,26,AMMANNADA,PREM USHAR,JSS(RB),General,General,OpenDataKerala GitHub
2020,Kollam,27,VADAKKEVILA,SREEDEVI AMMA S,INC,Woman,Woman,OpenDataKerala GitHub
2020,Kollam,28,PALLIMUKKU,M SAJEEV,CPI(M),General,General,OpenDataKerala GitHub
2020,Kollam,29,AYATHIL,ADV. G UDAYAKUMAR,CPI(M),General,General,OpenDataKerala GitHub
2020,Kollam,30,KILIKOLLOOR,NOUSHAD A,CPI,General,General,OpenDataKerala GitHub
2020,Kollam,31,PUNTHALATHAZHAM,PRIJI V,CPI,Woman,Woman,OpenDataKerala GitHub
2020,Kollam,32,PALATHARA,ANEESH KUMAR A,BJP,General,General,OpenDataKerala GitHub
2020,Kollam,33,MANAKKADU,NAZEEMA SHIHAB,CPI(M),Woman,Woman,OpenDataKerala GitHub
2020,Kollam,34,KOLLORVILA,HAMSATH BEEVI,INC,Woman,Woman,OpenDataKerala GitHub
2020,Kollam,35,KAYYALAKKAL,MEHARUNNISA M,CPI(M),Woman,Woman,OpenDataKerala GitHub
2020,Kollam,36,VALATHUNGAL,SUJA,CPI,General,General,OpenDataKerala GitHub
2020,Kollam,37,AAKKOLIL,MAYA S BALU,CPI(M),Woman,Woman,OpenDataKerala GitHub
2020,Kollam,38,THEKKUMBHAGAM,SUNIL JOSE,INC,General,General,OpenDataKerala GitHub
2020,Kollam,39,ERAVIPURAM,PRIYADARSANAN V S,CPI(M),General,General,OpenDataKerala GitHub
2020,Kollam,40,BHARANIKAVU,SAVITHA DEVI S,CPI,SC Woman,SC Woman,OpenDataKerala GitHub
2020,Kollam,41,THEKKEVILA,T P ABHIMANYU,CPI(M),General,General,OpenDataKerala GitHub
2020,Kollam,42,MUNDAKKAL,KURUVILA JOSEPH,INC,General,General,OpenDataKerala GitHub
2020,Kollam,43,PATTATHANAM,NIZAMUDEEN. M H,CPI(M),General,General,OpenDataKerala GitHub
2020,Kollam,44,CANTONMENT,ADV . A K SAVAD,CPI(M),General,General,OpenDataKerala GitHub
2020,Kollam,45,UDAYAMARTHANDAPURAM,SAJEEV SOMAN,CPI,General,General,OpenDataKerala GitHub
2020,Kollam,46,THAMARAKULAM,PRASANNA EARNEST,CPI(M),Woman,Woman,OpenDataKerala GitHub
2020,Kollam,47,PALLITHOTTAM,N TOMY,CPI,General,General,OpenDataKerala GitHub
2020,Kollam,48,PORT,GEORGE D KATTIL,INC,General,General,OpenDataKerala GitHub
2020,Kollam,49,KACHERY,SOMARAJAN G,CPI(M),General,General,OpenDataKerala GitHub
2020,Kollam,50,KAIKULANGARA,MINIMOL G R,CPI(M),SC,SC,OpenDataKerala GitHub
2020,Kollam,51,THANGASSERY,STANLEY J,CPI(M),General,General,OpenDataKerala GitHub
2020,Kollam,52,THIRUMULLAVARAM,PAVITHRA U,CPI(M),Woman,Woman,OpenDataKerala GitHub
2020,Kollam,53,MULAMKADAKAM,SETHULEKSHMY J,CPI(M),Woman,Woman,OpenDataKerala GitHub
2020,Kollam,54,ALATTUKAVU,ASHA A,CPI(M),Woman,Woman,OpenDataKerala GitHub
2020,Kollam,55,KANNIMEL,ASWATHY A,CPI(M),Woman,Woman,OpenDataKerala GitHub
2020,Ernakulam,1,FORT KOCHI,ANTONY KUREETHARA,INC,General,General,OpenDataKerala GitHub
2020,Ernakulam,2,KALVATHY,T K ASHRAF,INDEPENDENT,General,General,OpenDataKerala GitHub
2020,Ernakulam,3,EARAVELY,ISMUDHEEN M,CPI(M),General,General,OpenDataKerala GitHub
2020,Ernakulam,4,KARIPPALAM,K.A MANAF,INC,General,General,OpenDataKerala GitHub
2020,Ernakulam,5,MATTANCHERY,ANSIYA K A,CPI,Woman,Woman,OpenDataKerala GitHub
2020,Ernakulam,6,KOCHANGADI,M.H.M ASHRAF,CPI(M),General,General,OpenDataKerala GitHub
2020,Ernakulam,7,CHERALAYI,RAGHURAMA PAI J,BJP,General,General,OpenDataKerala GitHub
2020,Ernakulam,8,PANAYAPPILLY,SANIL MON J,INDEPENDENT,General,General,OpenDataKerala GitHub
2020,Ernakulam,9,CHAKKAMADOM,HABEEBULLA M,CPI(M),General,General,OpenDataKerala GitHub
2020,Ernakulam,10,KARUVELIPPADY,BASTINE BABU,INC,General,General,OpenDataKerala GitHub
2020,Ernakulam,11,THOPPUMPADY,SHEEBA DUROM,INC,Woman,Woman,OpenDataKerala GitHub
2020,Ernakulam,12,THAREBHAGAM,SONY K FRANCIS,CPI(M),General,General,OpenDataKerala GitHub
2020,Ernakulam,13,KADEBHAGAM,V A SRIJITH,CPI(M),General,General,OpenDataKerala GitHub
2020,Ernakulam,14,THAZHUPPU,LAILADAS,IUML,Woman,Woman,OpenDataKerala GitHub
2020,Ernakulam,15,EDAKOCHI NORTH,JEEJA TENSON,INC,Woman,Woman,OpenDataKerala GitHub
2020,Ernakulam,16,EDAKOCHI SOUTH,ABILASH THOPPIL,INC,General,General,OpenDataKerala GitHub
2020,Ernakulam,17,PERUMBADAPPU,C.N RENJITH MASTER,CPI,General,General,OpenDataKerala GitHub
2020,Ernakulam,18,KONAM,ADV. ASWATHY VALSAN,CPI(M),Woman,Woman,OpenDataKerala GitHub
2020,Ernakulam,19,PALLURUTHY-KACHERIPADY,P R RACHANA,CPI(M),Woman,Woman,OpenDataKerala GitHub
2020,Ernakulam,20,NAMBYAPURAM,P.S.VIJU,CPI(M),General,General,OpenDataKerala GitHub
2020,Ernakulam,21,PULLARDESAM,C.R SUDHEER,CPI(M),General,General,OpenDataKerala GitHub
2020,Ernakulam,22,MUNDAMVELLY,MARY CALESTA PRAKASHAN,CMP,Woman,Woman,OpenDataKerala GitHub
2020,Ernakulam,23,MANASSERY,K.P ANTONY,INDEPENDENT,General,General,OpenDataKerala GitHub
2020,Ernakulam,24,MOOLAMKUZHY,SHYLA THADEVOUSE,INC,Woman,Woman,OpenDataKerala GitHub
2020,Ernakulam,25,CHULLICKAL,REDINA ANTONY,CPI(M),Woman,Woman,OpenDataKerala GitHub
2020,Ernakulam,26,NASRATHU,SHEEBA LAL,JD(S),Woman,Woman,OpenDataKerala GitHub
2020,Ernakulam,27,FORTKOCHI VELI,BENEDICT FERNANDEZ,CPI(M),General,General,OpenDataKerala GitHub
2020,Ernakulam,28,AMARAVATHY,PRIYA P.A,BJP,Woman,Woman,OpenDataKerala GitHub
2020,Ernakulam,29,ISLAND NORTH,PADMAKUMARI T,BJP,General,General,OpenDataKerala GitHub
2020,Ernakulam,30,ISLAND SOUTH,TIBIN DEVASSY,INC,General,General,OpenDataKerala GitHub
2020,Ernakulam,31,VADUTHALA WEST,HENRY AUSTIN,INC,General,General,OpenDataKerala GitHub
2020,Ernakulam,32,VADUTHALA EAST,BINDHU MANI,CPI(M),SC Woman,SC Woman,OpenDataKerala GitHub
2020,Ernakulam,33,ELAMAKKARA NORTH,ANILKUMAR M,CPI(M),General,General,OpenDataKerala GitHub
2020,Ernakulam,34,PUTHUKKALAVATTAM,SEENA,INC,Woman,Woman,OpenDataKerala GitHub
2020,Ernakulam,35,PONEKKARA,PIUS JOSEPH,INC,General,General,OpenDataKerala GitHub
2020,Ernakulam,36,KUNNUMPURAM,JAGADAMBIKA(AMBIKA SUDARSAN),CPI(M),General,General,OpenDataKerala GitHub
2020,Ernakulam,37,EDAPPALLY,DEEPA VARMA,CPI(M),Woman,Woman,OpenDataKerala GitHub
2020,Ernakulam,38,DHEVANKULANGARA,SANTHA VIJAYAN,INC,Woman,Woman,OpenDataKerala GitHub
2020,Ernakulam,39,KARUKAPPILLI,ADV. DEEPTHI MARY VARGHESE,INC,Woman,Woman,OpenDataKerala GitHub
2020,Ernakulam,40,MAMANGALAM,MINIMOL V K,INC,Woman,Woman,OpenDataKerala GitHub
2020,Ernakulam,41,PADIVATTAM,R RATHEESH,CPI(M),General,General,OpenDataKerala GitHub
2020,Ernakulam,42,VENNALA,C.D VALSALA KUMARI,CPI(M),Woman,Woman,OpenDataKerala GitHub
2020,Ernakulam,43,PALARIVATTAM,GEOJY KURIKODE,CPI,General,General,OpenDataKerala GitHub
2020,Ernakulam,44,KARANAKKODAM,GEORGE NANATTU,CPI(M),General,General,OpenDataKerala GitHub
2020,Ernakulam,45,THAMMANAM,SAKEER THAMMANAM,INC,General,General,OpenDataKerala GitHub
2020,Ernakulam,46,CHAKKARAPARAMBU,K B HARSHAL,CPI(M),General,General,OpenDataKerala GitHub
2020,Ernakulam,47,CHALIKKAVATTAM,A.R PADMADAS,INC,General,General,OpenDataKerala GitHub
2020,Ernakulam,48,PONNURUNNI EAST,ADV. DIPIN DILEEP,CPI(M),General,General,OpenDataKerala GitHub
2020,Ernakulam,49,VYTTILA,SUNITHA DIXON,RSP,Woman,Woman,OpenDataKerala GitHub
2020,Ernakulam,50,CHAMBAKKARA,DR.SAILAJA T.K,CPI(M),Woman,Woman,OpenDataKerala GitHub
2020,Ernakulam,51,POONITHURA,MERCY TEACHER,INC,Woman,Woman,OpenDataKerala GitHub
2020,Ernakulam,52,VYTTILA JANATHA,SONY JOSEPH,INC,Woman,Woman,OpenDataKerala GitHub
2020,Ernakulam,53,PONNURUNNI,C.D BINDU,CPI(M),Woman,Woman,OpenDataKerala GitHub
2020,Ernakulam,54,ELAMKULAM,ANTONY PAINUTHARA,INC,General,General,OpenDataKerala GitHub
2020,Ernakulam,55,GIRINAGAR,MALINI KURUP,INC,Woman,Woman,OpenDataKerala GitHub
2020,Ernakulam,56,PANAMPILLI NAGAR,ANJANA TEACHER,INC,Woman,Woman,OpenDataKerala GitHub
2020,Ernakulam,57,KADAVANTHRA,SUJA LONAPPAN,KC(M)PJJ,Woman,Woman,OpenDataKerala GitHub
2020,Ernakulam,58,KONTHURUTHY,BENCY BENNY,INC,Woman,Woman,OpenDataKerala GitHub
2020,Ernakulam,59,THEVARA,P.R.RANISH,CPI(M),General,General,OpenDataKerala GitHub
2020,Ernakulam,60,PERUMANUR,LATHIKA K.P,CPI(M),SC Woman,SC Woman,OpenDataKerala GitHub
2020,Ernakulam,61,RAVIPURAM,S SASIKALA,CPI(M),Woman,Woman,OpenDataKerala GitHub
2020,Ernakulam,62,ERNAKULAM SOUTH,PADMAJA S MENON,BJP,Woman,Woman,OpenDataKerala GitHub
2020,Ernakulam,63,GANDHI NAGAR,BINDU SIVAN,CPI(M),General,General,OpenDataKerala GitHub
2020,Ernakulam,64,KATHRIKADAVU,ARISTOTTIL M.G,INC,General,General,OpenDataKerala GitHub
2020,Ernakulam,65,KALOOR SOUTH,RAJANI MANI,INC,Woman,Woman,OpenDataKerala GitHub
2020,Ernakulam,66,ERNAKULAM CENTRAL,SUDHA DILIPKUMAR,BJP,Woman,Woman,OpenDataKerala GitHub
2020,Ernakulam,67,ERNAKULAM NORTH,MANU JACOB,INC,General,General,OpenDataKerala GitHub
2020,Ernakulam,68,AYYAPPANKAVU,MINI DILEEP,INC,Woman,Woman,OpenDataKerala GitHub
2020,Ernakulam,69,THRIKKANARVATTOM,KAJAL SALIM,INDEPENDENT,Woman,Woman,OpenDataKerala GitHub
2020,Ernakulam,70,KALOOR NORTH,ASHITHA YAHIYA,CPI(M),Woman,Woman,OpenDataKerala GitHub
2020,Ernakulam,71,ELAMAKKARA SOUTH,SAJINI JAYACHANDRAN,CPI(M),Woman,Woman,OpenDataKerala GitHub
2020,Ernakulam,72,POTTAKUZHY,SHAKEER C A,CPI,General,General,OpenDataKerala GitHub
2020,Ernakulam,73,PACHALAM,MINI VIVERA,INC,Woman,Woman,OpenDataKerala GitHub
2020,Ernakulam,74,THATTAZHAM,V V PRAVEEN,CPI(M),SC,SC,OpenDataKerala GitHub
2020,Thrissur,1,PUNKUNNAM,DR. V. AATHIRA,BJP,Woman,Woman,OpenDataKerala GitHub
2020,Thrissur,2,KUTTANKULANGARA,SURESH A K,INC,General,General,OpenDataKerala GitHub
2020,Thrissur,3,PATTURAIKAL,RADHIKA.N.V.,BJP,SC Woman,SC Woman,OpenDataKerala GitHub
2020,Thrissur,4,VIYYUR,RENYA BYJU,INC,Woman,Woman,OpenDataKerala GitHub
2020,Thrissur,5,PERINGAVU,N A GOPAKUMAR,INC,General,General,OpenDataKerala GitHub
2020,Thrissur,6,RAMAVARMAPURAM,RAJASREE GOPAN,CPI(M),Woman,Woman,OpenDataKerala GitHub
2020,Thrissur,7,KUTTUMUKKU,RADHIKA.M.V.,CPI(M),Woman,Woman,OpenDataKerala GitHub
2020,Thrissur,8,VILLADAM,I.SATHEESHKUMAR,CPI,General,General,OpenDataKerala GitHub
2020,Thrissur,9,CHEROOR,ADV VILLI,INC,Woman,Woman,OpenDataKerala GitHub
2020,Thrissur,10,MUKKATTUKARA,SUBHI SUKUMAR,CPI(M),Woman,Woman,OpenDataKerala GitHub
2020,Thrissur,11,GANDHI NAGAR,RAJAN.J.PALLAN,INC,General,General,OpenDataKerala GitHub
2020,Thrissur,12,CHEMBUKKAVU,REJI JOY,INC,Woman,Woman,OpenDataKerala GitHub
2020,Thrissur,13,KIZHAKUMPATTUKARA,JOHN DANIEL,INC,General,General,OpenDataKerala GitHub
2020,Thrissur,14,PARAVATTANI,SHEEBA JOY,CPI(M),Woman,Woman,OpenDataKerala GitHub
2020,Thrissur,15,OLLUKARA,SYAMALA MURALEEDHARAN,INC,Woman,Woman,OpenDataKerala GitHub
2020,Thrissur,16,NETTISSERI,M.K.VARGHESE,INDEPENDENT,General,General,OpenDataKerala GitHub
2020,Thrissur,17,MULLAKKARA,ADV. T.A.ANEES AHAMMAD,CPI(M),General,General,OpenDataKerala GitHub
2020,Thrissur,18,MANNUTHY,RESHMA HEMAGE,CPI(M),Woman,Woman,OpenDataKerala GitHub
2020,Thrissur,19,KRISHNAPURAM,BEENA MURALI,CPI,General,General,OpenDataKerala GitHub
2020,Thrissur,20,KALATHODU,M.L.ROSY,INDEPENDENT,General,General,OpenDataKerala GitHub
2020,Thrissur,21,NADATHARA,SHEEBA BABU,JD(S),General,General,OpenDataKerala GitHub
2020,Thrissur,22,CHELAKOTTUKARA,MERCY AJI,INC,Woman,Woman,OpenDataKerala GitHub
2020,Thrissur,23,MISSION QUARTERS,LEELA VARGHESE,INC,Woman,Woman,OpenDataKerala GitHub
2020,Thrissur,24,VALARKAVU,E.V.SUNILRAJ,INC,General,General,OpenDataKerala GitHub
2020,Thrissur,25,KURIYACHIRA,NIMMY RAPPAI,INC,Woman,Woman,OpenDataKerala GitHub
2020,Thrissur,26,ANCHERI,VARGHESE KANDAMKULATHY,CPI(M),General,General,OpenDataKerala GitHub
2020,Thrissur,27,KUTTANELLUR,SYAMALA VENUGOPAL,CPI(M),Woman,Woman,OpenDataKerala GitHub
2020,Thrissur,28,PADAVARADU,NEETHU DILEESH,CPI(M),Woman,Woman,OpenDataKerala GitHub
2020,Thrissur,29,EDAKUNNI,CAROLIN JERISH PERINCHERY,KC(M),Woman,Woman,OpenDataKerala GitHub
2020,Thrissur,30,THAIKATTUSSERY,C.P.PAULY,INDEPENDENT,General,General,OpenDataKerala GitHub
2020,Thrissur,31,OLLUR,SANOJ.K.PAUL,INC,General,General,OpenDataKerala GitHub
2020,Thrissur,32,CHIYYARAM SOUTH,LIMNA MANOJ,INDEPENDENT,Woman,Woman,OpenDataKerala GitHub
2020,Thrissur,33,CHIYYARAM NORTH,ANCY JACOB PULIKOTTIL,INC,Woman,Woman,OpenDataKerala GitHub
2020,Thrissur,34,KANNAMKULANGARA,MUKESH K B,INC,General,General,OpenDataKerala GitHub
2020,Thrissur,35,PALLIKULAM,SINDHU ANTO,INC,Woman,Woman,OpenDataKerala GitHub
2020,Thrissur,36,THEKKINKADU,POORNIMA SURESH,BJP,Woman,Woman,OpenDataKerala GitHub
2020,Thrissur,37,KOTTAPPURAM,NIJI.K.G.,BJP,SC Woman,SC Woman,OpenDataKerala GitHub
2020,Thrissur,38,POOTHOLE,SARAMMA ROBSON,CPI,Woman,Woman,OpenDataKerala GitHub
2020,Thrissur,39,KOKKALA,VINOD POLLANCHERY,BJP,General,General,OpenDataKerala GitHub
2020,Thrissur,40,VADUKKARA,P V ANILKUMAR,CPI(M),SC,SC,OpenDataKerala GitHub
2020,Thrissur,41,KOORKANCHERY,VINESH THAYYIL,INC,General,General,OpenDataKerala GitHub
2020,Thrissur,42,KANIMANGALAM,JAYAPRAKAS POOVATHINGAL,INC,General,General,OpenDataKerala GitHub
2020,Thrissur,43,PANAMUKKU,RAHULNATH A R,CPI(M),General,General,OpenDataKerala GitHub
2020,Thrissur,44,NEDUPUZHA,ABBY VARGHESE,INC,General,General,OpenDataKerala GitHub
2020,Thrissur,45,KARIATTUKARA,LALI JAMES,INC,Woman,Woman,OpenDataKerala GitHub
2020,Thrissur,46,CHETTUPUZHA,ADV. REGEENA JIPSON,INDEPENDENT,Woman,Woman,OpenDataKerala GitHub
2020,Thrissur,47,PULLAZHI,K RAMANADHAN,INC,General,General,OpenDataKerala GitHub
2020,Thrissur,48,OLARI,SREELAL SREEDHAR,INC,SC,SC,OpenDataKerala GitHub
